Topic,Caption,Top_Words,N_Documents
0,"doanh nghiệp và vốn - đăng ký, kỳ","doanh_nghiệp, đăng_ký, kỳ, hoạt_động, vốn",79
1,"sông đồng nai (giải, thưởng)","giải, thưởng, trúng, lũ, công_ty",108
2,"vecom st (giá, thị trường)","giá, thị_trường, ngân_hàng, giao_dịch, mua",241
3,"trạm khả năng (mưa, nhiệt độ)","mưa, nhiệt_độ, rét, khu_vực, biển",152
4,"mega vietlott (chủ nhật, cập nhật)","vietlott, chủ_nhật, cập_nhật, huế, xspy",243
5,"dự án và tiền - nuôi, học sinh","nuôi, học_sinh, thông_tin, trường, dự_án",78
6,"fpt play và ramirez pino - trận, việt nam","trận, việt_nam, philippines, nữ, bóng",100
7,"mỹ donald trump và fukushima higashidori onagawa - khu vực, trung quốc","khu_vực, trung_quốc, mỹ, campuchia, ukraine",136
8,"nạn tình huống và thành phố ofunato - người dân, đất","người_dân, đất, khu_vực, hộ, địa_phương",149
9,"công an và sự thật - tiền, đối tượng","công_an, tiền, đối_tượng, cơ_quan, điều_tra",129
10,"tàu và việt nam - phát triển, hoạt động","việt_nam, phát_triển, hoạt_động, chương_trình, doanh_nghiệp",219
11,"luật qh ngh (trung ương, dự án)","trung_ương, dự_án, phát_triển, quốc_hội, đại_biểu",279
12,"cảnh sát và công an - vàng, giá vàng","vàng, giá vàng, giao_thông, đường_sắt, mua",118
13,"cặp đôi (giúp, thiết kế)","giúp, thiết_kế, trẻ, hiện_đại, lựa_chọn",218
14,"môn thi đấu (công tác, tổ chức)","công_tác, tổ_chức, ban, nhiệm_vụ, hội_đồng_nhân_dân",140
