Model,Topic,Caption
LDA,0,"doanh nghiệp và vốn - đăng ký, kỳ"
LDA,1,"sông đồng nai (giải, thưởng)"
LDA,2,"vecom st (giá, thị trường)"
LDA,3,"trạm khả năng (mưa, nhiệt độ)"
LDA,4,"mega vietlott (chủ nhật, cập nhật)"
LDA,5,"dự án và tiền - nuôi, học sinh"
LDA,6,"fpt play và ramirez pino - trận, việt nam"
LDA,7,"mỹ donald trump và fukushima higashidori onagawa - khu vực, trung quốc"
LDA,8,"nạn tình huống và thành phố ofunato - người dân, đất"
LDA,9,"công an và sự thật - tiền, đối tượng"
LDA,10,"tàu và việt nam - phát triển, hoạt động"
LDA,11,"luật qh ngh (trung ương, dự án)"
LDA,12,"cảnh sát và công an - vàng, giá vàng"
LDA,13,"cặp đôi (giúp, thiết kế)"
LDA,14,"môn thi đấu (công tác, tổ chức)"
LSA,0,"nạn tình huống và fukushima higashidori onagawa - mưa, nhiệt độ"
LSA,1,"luật qh ngh (giá, trung ương)"
LSA,2,"dịp giáng sinh (vàng, giá vàng)"
LSA,3,"vietlott xs vietlott và mega vietlott - giải, vietlott vietlott"
LSA,4,"vượng quý nhân (giải, giải giải)"
LSA,5,"microsoft công bố (doanh nghiệp, đăng ký)"
LSA,6,"thuế vat (vàng, giá vàng)"
LSA,7,"môn thi đấu (giá, dự án)"
LSA,8,"ngân hàng và lãi suất - thị trường, nhà nước"
LSA,9,"fpt play và nhiệm vụ song - việt nam, trận"
LSA,10,"sân bay long và đảo trường sa - dự án, trung ương"
LSA,11,"cảnh sát và công an - đường sắt, giao thông"
LSA,12,"luật và đại biểu - án, thi hành"
LSA,13,"sxmt trực tuyến và mega vietlott - chủ nhật, huế"
LSA,14,"tàu và điện - đường sắt, đại biểu"
KMeans,0,"fpt play và ramirez pino - trận, việt nam"
KMeans,1,"luật qh ngh (trung ương, dự án)"
KMeans,2,"giông nơ và dông khả - mưa, nhất độ"
KMeans,3,"sxmt trực tuyến (chủ nhật, huế)"
KMeans,4,"fukushima higashidori onagawa (việt nam, doanh nghiệp)"
KMeans,5,"giải và đồng giải - giải giải, thưởng"
KMeans,6,"không khí và hà nội - ô nhiễm, chất lượng"
KMeans,7,"sức khỏe (mưa, rét)"
KMeans,8,"xs vietlott và vietlott xs vietlott - power, vietlott power"
KMeans,9,"thuế vat (giá, cập nhật)"
KMeans,10,"đường sắt việt và ngành đường sắt - giao thông, an toàn"
KMeans,11,"nhất độ nhiệ (mưa, nhiệt độ)"
KMeans,12,"vàng và giá - giá vàng, mua"
KMeans,13,"giải và công ty - thưởng, trúng"
KMeans,14,"vàng miếng (ngân hàng, lãi suất)"
HAC,0,"tàu và trung ương - dự án, doanh nghiệp"
HAC,1,"luật qh ngh và môn thi đấu - bé, tin tức"
HAC,2,"cảnh sát và công an - giao thông, đường sắt"
HAC,3,"fukushima higashidori onagawa và trường sa - mưa, nhiệt độ"
HAC,4,"hoa và trà - núi, rùa"
HAC,5,"mỹ donald trump và dải gaza - nga, tổng thống"
HAC,6,"fpt play và nhiệm vụ song - việt nam, trận"
HAC,7,"mega vietlott (giải, chủ nhật)"
HAC,8,"mùa và hội chợ - album, thu"
HAC,9,"giá và vàng - thị trường, mua"
HAC,10,"phim và khán giả - diễn viên, sống"
HAC,11,"tuổi thọ và nguy cơ - đậu, chuyên gia"
HAC,12,"sân bay long (hãng, hàng không)"
HAC,13,"tý h-h (xuất hành, hoàng đạo)"
HAC,14,"súng ma túy (biên phòng, đồn)"
